10,20,939
10,21,438
10,22,755
10,23,587
10,24,597
10,25,79
10,26,724
10,27,446
10,28,153
10,29,106
11,20,835
11,21,333
11,22,721
11,23,557
11,24,497
11,25,252
11,26,873
11,27,605
11,28,438
11,29,523
12,20,196
12,21,402
12,22,186
12,23,978
12,24,326
12,25,189
12,26,552
12,27,12
12,28,842
12,29,992
13,20,927
13,21,500
13,22,881
13,23,630
13,24,620
13,25,235
13,26,143
13,27,482
13,28,199
13,29,773
14,20,171
14,21,306
14,22,669
14,23,968
14,24,886
14,25,788
14,26,595
14,27,881
14,28,43
14,29,119
15,20,927
15,21,932
15,22,975
15,23,843
15,24,94
15,25,32
15,26,892
15,27,758
15,28,962
15,29,455
16,20,422
16,21,992
16,22,908
16,23,463
16,24,84
16,25,353
16,26,342
16,27,791
16,28,321
16,29,287
17,20,691
17,21,446
17,22,484
17,23,498
17,24,99
17,25,430
17,26,163
17,27,887
17,28,505
17,29,232
18,20,292
18,21,70
18,22,179
18,23,977
18,24,795
18,25,594
18,26,215
18,27,488
18,28,1000
18,29,230
19,20,238
19,21,449
19,22,745
19,23,488
19,24,312
19,25,762
19,26,226
19,27,146
19,28,613
19,29,784
